Country,Year,Month,Region,Fires_Count,Burned_Area_Ha,Cause,Temperature_C,Humidity_Percent,Wind_Speed_kmh
Spain,1887,October,Catalonia,495,12275,Unknown,35,18,56
Spain,1887,June,Andalusia,11,4525,Human,37,89,20
USA,1887,September,California,407,13959,Climate Change,32,6,2
USA,1887,September,Texas,408,85614,Lightning,16,71,13
USA,1887,August,Oregon,265,33672,Human,48,57,45
Brazil,1887,July,Amazonas,346,17871,Human,24,34,60
Brazil,1887,October,Mato Grosso,219,86243,Human,31,18,10
Greece,1887,June,Athens,241,99708,Human,36,8,27
Greece,1887,June,Crete,33,77008,Lightning,37,41,19
Australia,1887,September,New South Wales,46,38343,Human,48,21,38
Australia,1887,May,Victoria,490,78511,Climate Change,36,89,28
Portugal,1887,May,Lisbon,291,82665,Deforestation,48,16,54
Portugal,1887,June,Porto,177,11764,Lightning,35,66,47
Italy,1887,June,Sicily,314,61220,Deforestation,40,33,22
Italy,1887,July,Sardinia,300,89699,Unknown,49,58,56
Russia,1887,October,Siberia,410,89499,Human,34,87,63
Russia,1887,July,Far East,369,38990,Lightning,23,30,67
Canada,1887,September,British Columbia,77,15148,Human,15,93,62
Canada,1887,July,Alberta,108,55437,Human,49,7,45
France,1887,July,Corsica,482,20681,Lightning,26,23,45
France,1887,July,Provence,309,35872,Human,24,61,56
China,1887,May,Yunnan,307,20591,Deforestation,22,25,26
China,1887,June,Sichuan,93,77554,Deforestation,40,30,48
India,1887,June,Madhya Pradesh,20,70442,Human,37,30,8
India,1887,October,Assam,339,8920,Human,22,63,40
Turkey,1888,July,Mugla,406,17950,Lightning,31,18,32
Turkey,1888,July,Antalya,112,96543,Climate Change,48,7,38
Turkey,1888,July,Izmir,428,97341,Unknown,29,8,26
Spain,1888,September,Catalonia,214,94323,Climate Change,16,59,43
Spain,1888,June,Andalusia,418,29530,Climate Change,27,22,33
USA,1888,July,California,383,40074,Unknown,43,66,63
USA,1888,September,Texas,240,13084,Unknown,24,34,26
USA,1888,August,Oregon,393,10916,Human,17,49,15
Brazil,1888,October,Amazonas,328,33013,Climate Change,39,52,66
Brazil,1888,September,Mato Grosso,498,35500,Human,38,72,13
Greece,1888,July,Athens,297,45128,Deforestation,20,43,57
Greece,1888,October,Crete,348,29857,Climate Change,48,29,53
Australia,1888,August,New South Wales,63,57079,Climate Change,24,61,42
Australia,1888,May,Victoria,263,14299,Climate Change,19,58,48
Portugal,1888,May,Lisbon,13,76998,Unknown,49,54,63
Portugal,1888,May,Porto,220,24678,Deforestation,27,93,69
Italy,1888,October,Sicily,361,17774,Human,17,33,10
Italy,1888,July,Sardinia,413,88901,Unknown,23,83,41
Russia,1888,May,Siberia,265,58862,Deforestation,48,92,39
Russia,1888,July,Far East,393,70931,Lightning,32,74,38
Canada,1888,August,British Columbia,180,3120,Unknown,19,81,41
Canada,1888,September,Alberta,228,2496,Deforestation,17,60,41
France,1888,June,Corsica,44,92208,Climate Change,47,10,20
France,1888,August,Provence,357,96926,Deforestation,27,49,54
China,1888,June,Yunnan,360,86306,Deforestation,21,9,46
China,1888,June,Sichuan,253,49238,Lightning,24,36,54
India,1888,October,Madhya Pradesh,43,92341,Unknown,16,82,13
India,1888,June,Assam,228,95856,Deforestation,31,64,65
Turkey,1889,September,Mugla,167,1107,Deforestation,44,75,64
Turkey,1889,August,Antalya,64,91457,Climate Change,43,26,69
Turkey,1889,August,Izmir,356,45639,Lightning,18,68,18
Spain,1889,August,Catalonia,410,63988,Lightning,15,26,51
Spain,1889,October,Andalusia,196,24960,Unknown,49,56,8
USA,1889,September,California,399,44164,Deforestation,25,62,27
USA,1889,June,Texas,434,13125,Climate Change,18,85,14
USA,1889,May,Oregon,43,68978,Climate Change,43,79,33
Brazil,1889,June,Amazonas,179,78897,Unknown,36,79,28
Brazil,1889,July,Mato Grosso,341,44513,Unknown,42,25,48
Greece,1889,September,Athens,447,53431,Deforestation,19,7,2
Greece,1889,June,Crete,384,20082,Lightning,49,68,26
Australia,1889,August,New South Wales,278,38258,Unknown,30,31,61
Australia,1889,October,Victoria,477,5876,Climate Change,22,83,28
Portugal,1889,October,Lisbon,54,30807,Deforestation,43,68,45
Portugal,1889,September,Porto,28,44959,Lightning,17,24,47
Italy,1889,May,Sicily,226,11636,Unknown,34,13,39
Italy,1889,May,Sardinia,448,5209,Climate Change,16,92,12
Russia,1889,September,Siberia,213,26689,Lightning,45,42,33
Russia,1889,July,Far East,305,41788,Human,22,15,52
Canada,1889,May,British Columbia,405,39599,Human,46,83,55
Canada,1889,October,Alberta,96,48887,Human,24,44,33
France,1889,June,Corsica,357,49253,Human,47,81,31
France,1889,May,Provence,81,57085,Lightning,40,50,16
China,1889,June,Yunnan,110,9178,Unknown,25,65,68
China,1889,July,Sichuan,394,84076,Human,45,36,42
India,1889,June,Madhya Pradesh,208,26389,Unknown,34,66,8
India,1889,July,Assam,88,98611,Unknown,20,62,23
Turkey,1890,June,Mugla,387,98918,Human,28,79,13
Turkey,1890,August,Antalya,401,1660,Climate Change,33,59,46
Turkey,1890,September,Izmir,123,2456,Deforestation,32,74,19
Spain,1890,July,Catalonia,154,37512,Human,17,32,36
Spain,1890,September,Andalusia,97,16409,Human,21,80,50
USA,1890,October,California,217,59421,Climate Change,38,24,38
USA,1890,August,Texas,224,26063,Unknown,38,54,50
USA,1890,July,Oregon,100,65228,Unknown,48,70,35
Brazil,1890,August,Amazonas,266,45450,Lightning,26,7,19
Brazil,1890,September,Mato Grosso,403,57156,Deforestation,40,12,43
Greece,1890,August,Athens,18,88497,Lightning,19,42,42
Greece,1890,October,Crete,320,94688,Human,34,6,18
Australia,1890,July,New South Wales,349,92252,Unknown,16,39,6
Australia,1890,May,Victoria,428,86575,Unknown,37,51,32
Portugal,1890,July,Lisbon,14,44838,Lightning,43,14,2
Portugal,1890,September,Porto,280,79630,Unknown,15,61,65
Italy,1890,October,Sicily,472,85212,Deforestation,26,41,50
Italy,1890,May,Sardinia,124,26255,Unknown,29,10,62
Russia,1890,August,Siberia,374,81637,Human,34,30,30
Russia,1890,May,Far East,123,1158,Climate Change,19,37,52
Canada,1890,October,British Columbia,16,41335,Climate Change,38,47,51
Canada,1890,September,Alberta,189,15498,Deforestation,37,48,39
France,1890,August,Corsica,155,23011,Climate Change,30,54,9
France,1890,June,Provence,345,23296,Climate Change,36,51,35
China,1890,May,Yunnan,315,15677,Deforestation,24,34,18
China,1890,June,Sichuan,140,65938,Human,26,76,47
India,1890,August,Madhya Pradesh,293,31990,Climate Change,19,94,63
India,1890,August,Assam,454,17187,Human,47,45,49
Turkey,1891,September,Mugla,77,85250,Human,25,72,5
Turkey,1891,October,Antalya,23,65065,Lightning,32,17,24
Turkey,1891,July,Izmir,369,3812,Human,35,19,66
Spain,1891,August,Catalonia,203,9208,Deforestation,43,93,34
Spain,1891,May,Andalusia,228,93780,Deforestation,40,15,67
USA,1891,October,California,269,22712,Lightning,22,52,67
USA,1891,October,Texas,416,31448,Climate Change,40,29,13
USA,1891,September,Oregon,486,53651,Climate Change,29,48,16
Brazil,1891,July,Amazonas,436,27066,Lightning,35,27,48
Brazil,1891,September,Mato Grosso,128,39410,Human,25,55,16
Greece,1891,August,Athens,281,37750,Lightning,28,72,53
Greece,1891,October,Crete,31,42752,Unknown,49,12,17
Australia,1891,June,New South Wales,424,64257,Lightning,16,53,5
Australia,1891,June,Victoria,349,86465,Deforestation,21,78,40
Portugal,1891,September,Lisbon,163,3754,Human,34,72,8
Portugal,1891,October,Porto,389,21775,Climate Change,27,26,22
Italy,1891,October,Sicily,224,94188,Lightning,23,19,11
Italy,1891,June,Sardinia,125,75488,Lightning,22,28,50
Russia,1891,June,Siberia,351,34184,Unknown,38,23,61
Russia,1891,June,Far East,349,65781,Deforestation,24,59,48
Canada,1891,May,British Columbia,487,17733,Human,35,85,23
Canada,1891,September,Alberta,147,92678,Unknown,21,36,12
France,1891,June,Corsica,461,27313,Climate Change,39,6,65
France,1891,July,Provence,267,65208,Lightning,17,46,40
China,1891,May,Yunnan,245,55854,Unknown,33,72,43
China,1891,September,Sichuan,498,12423,Climate Change,47,40,4
India,1891,May,Madhya Pradesh,140,54724,Deforestation,20,45,69
India,1891,September,Assam,53,64415,Lightning,19,48,28
Turkey,1892,September,Mugla,268,56649,Lightning,17,48,59
Turkey,1892,July,Antalya,346,98217,Lightning,37,48,3
Turkey,1892,October,Izmir,213,9786,Unknown,22,26,45
Spain,1892,June,Catalonia,40,42928,Climate Change,45,51,56
Spain,1892,June,Andalusia,450,88833,Human,30,16,18
USA,1892,August,California,140,39991,Deforestation,30,34,24
USA,1892,August,Texas,119,48331,Climate Change,34,69,31
USA,1892,September,Oregon,88,86057,Lightning,22,36,34
Brazil,1892,September,Amazonas,276,10799,Unknown,48,18,37
Brazil,1892,May,Mato Grosso,155,88277,Climate Change,16,89,3
Greece,1892,July,Athens,253,84516,Deforestation,17,56,63
Greece,1892,June,Crete,200,65077,Deforestation,36,47,16
Australia,1892,October,New South Wales,320,64712,Unknown,26,53,43
Australia,1892,October,Victoria,86,87568,Deforestation,44,92,31
Portugal,1892,October,Lisbon,138,52390,Unknown,28,77,16
Portugal,1892,September,Porto,167,6821,Deforestation,16,39,21
Italy,1892,June,Sicily,260,94573,Human,16,29,55
Italy,1892,May,Sardinia,168,73922,Human,30,58,53
Russia,1892,July,Siberia,487,51212,Human,27,12,22
Russia,1892,June,Far East,456,17020,Unknown,26,36,14
Canada,1892,October,British Columbia,24,52288,Unknown,20,36,44
Canada,1892,October,Alberta,134,92922,Deforestation,45,9,35
France,1892,June,Corsica,349,55777,Deforestation,45,60,10
France,1892,July,Provence,153,71084,Unknown,21,84,17
China,1892,August,Yunnan,101,97639,Unknown,31,56,53
China,1892,August,Sichuan,128,57109,Climate Change,49,11,28
India,1892,August,Madhya Pradesh,474,99953,Climate Change,36,9,56
India,1892,June,Assam,66,89918,Climate Change,29,25,11
Turkey,1893,June,Mugla,380,5642,Climate Change,15,17,54
Turkey,1893,June,Antalya,489,53520,Unknown,31,64,12
Turkey,1893,September,Izmir,312,29400,Lightning,18,38,53
Spain,1893,August,Catalonia,86,21323,Deforestation,43,56,30
Spain,1893,October,Andalusia,46,55416,Lightning,27,68,18
USA,1893,May,California,429,64741,Unknown,43,14,59
USA,1893,August,Texas,236,91000,Unknown,25,38,9
USA,1893,July,Oregon,218,51499,Human,29,21,61
Brazil,1893,September,Amazonas,471,47784,Unknown,15,91,9
Brazil,1893,September,Mato Grosso,204,61020,Deforestation,15,55,25
Greece,1893,July,Athens,156,76916,Climate Change,34,25,59
Greece,1893,October,Crete,232,9966,Unknown,29,87,8
Australia,1893,July,New South Wales,32,58006,Deforestation,19,9,9
Australia,1893,June,Victoria,42,28370,Unknown,31,12,26
Portugal,1893,May,Lisbon,454,96818,Lightning,17,53,37
Portugal,1893,October,Porto,328,26289,Human,39,66,11
Italy,1893,September,Sicily,168,25327,Deforestation,16,17,54
Italy,1893,August,Sardinia,230,57966,Lightning,29,21,41
Russia,1893,June,Siberia,187,45100,Human,28,93,23
Russia,1893,August,Far East,418,14391,Climate Change,46,55,47
Canada,1893,May,British Columbia,380,61432,Deforestation,46,43,13
Canada,1893,May,Alberta,435,56949,Climate Change,27,25,9
France,1893,October,Corsica,364,55633,Unknown,46,79,23
France,1893,July,Provence,349,43641,Unknown,43,17,3
China,1893,September,Yunnan,217,55831,Deforestation,45,83,24
China,1893,August,Sichuan,465,3854,Climate Change,47,60,4
India,1893,October,Madhya Pradesh,23,82042,Climate Change,44,43,26
India,1893,September,Assam,115,88299,Lightning,30,76,2
Turkey,1894,August,Mugla,265,49766,Human,18,68,11
Turkey,1894,September,Antalya,388,80202,Deforestation,41,70,42
Turkey,1894,September,Izmir,397,84999,Lightning,40,62,55
Spain,1894,August,Catalonia,213,63537,Human,48,57,21
Spain,1894,July,Andalusia,404,89922,Deforestation,18,8,21
USA,1894,June,California,28,66649,Deforestation,40,41,55
USA,1894,September,Texas,206,92297,Unknown,34,21,5
USA,1894,September,Oregon,18,69222,Climate Change,30,62,56
Brazil,1894,August,Amazonas,392,36827,Lightning,44,86,20
Brazil,1894,August,Mato Grosso,64,69026,Deforestation,36,28,31
Greece,1894,June,Athens,490,13528,Unknown,33,52,46
Greece,1894,August,Crete,354,28954,Human,47,22,64
Australia,1894,August,New South Wales,117,84830,Unknown,25,61,46
Australia,1894,May,Victoria,405,45353,Unknown,34,51,16
Portugal,1894,October,Lisbon,51,84145,Unknown,25,13,17
Portugal,1894,September,Porto,65,8429,Lightning,17,81,52
Italy,1894,September,Sicily,407,83469,Deforestation,40,73,65
Italy,1894,September,Sardinia,472,2196,Climate Change,24,68,6
Russia,1894,August,Siberia,74,26301,Unknown,49,5,25
Russia,1894,May,Far East,104,42921,Human,45,88,25
Canada,1894,May,British Columbia,40,23352,Unknown,44,90,8
Canada,1894,July,Alberta,443,19775,Lightning,30,20,55
France,1894,June,Corsica,221,33072,Unknown,23,49,57
France,1894,July,Provence,88,40885,Lightning,35,72,51
China,1894,May,Yunnan,479,97898,Lightning,46,79,21
China,1894,September,Sichuan,430,77565,Unknown,28,61,38
India,1894,June,Madhya Pradesh,25,28328,Deforestation,37,94,38
India,1894,May,Assam,407,57814,Human,35,16,62
Turkey,1895,May,Mugla,165,7445,Climate Change,18,75,34
Turkey,1895,May,Antalya,156,97952,Climate Change,48,32,59
Turkey,1895,July,Izmir,173,55818,Human,31,74,66
Spain,1895,June,Catalonia,345,83557,Human,16,78,17
Spain,1895,July,Andalusia,129,69386,Unknown,38,44,39
USA,1895,August,California,63,48877,Deforestation,46,11,22
USA,1895,August,Texas,158,63970,Unknown,36,19,15
USA,1895,July,Oregon,385,27724,Lightning,42,30,64
Brazil,1895,June,Amazonas,413,22363,Deforestation,22,48,43
Brazil,1895,August,Mato Grosso,231,21353,Unknown,37,93,51
Greece,1895,July,Athens,407,6952,Deforestation,25,16,9
Greece,1895,August,Crete,480,21900,Unknown,35,76,56
Australia,1895,May,New South Wales,51,40946,Lightning,34,74,13
Australia,1895,June,Victoria,267,37811,Deforestation,17,31,41
Portugal,1895,October,Lisbon,421,85220,Climate Change,46,52,5
Portugal,1895,October,Porto,458,55761,Deforestation,46,13,13
Italy,1895,July,Sicily,306,54500,Climate Change,35,34,14
Italy,1895,June,Sardinia,264,33791,Lightning,45,63,28
Russia,1895,September,Siberia,29,55526,Human,18,29,21
Russia,1895,June,Far East,158,88808,Deforestation,42,13,51
Canada,1895,October,British Columbia,215,81935,Human,25,70,48
Canada,1895,August,Alberta,368,18988,Climate Change,38,90,4
France,1895,August,Corsica,480,59265,Lightning,35,32,63
France,1895,May,Provence,473,59142,Unknown,48,45,52
China,1895,June,Yunnan,318,33966,Human,37,52,23
China,1895,May,Sichuan,329,56015,Deforestation,44,19,36
India,1895,May,Madhya Pradesh,216,27616,Lightning,16,44,29
India,1895,October,Assam,205,38647,Unknown,15,76,64
Turkey,1896,July,Mugla,8,98845,Human,29,67,22
Turkey,1896,July,Antalya,317,93912,Climate Change,28,80,18
Turkey,1896,May,Izmir,359,51039,Climate Change,29,86,7
Spain,1896,July,Catalonia,223,68090,Deforestation,41,50,39
Spain,1896,October,Andalusia,104,86616,Deforestation,33,34,26
USA,1896,October,California,158,34618,Human,33,55,4
USA,1896,June,Texas,279,24364,Unknown,34,49,64
USA,1896,May,Oregon,255,14047,Human,33,51,15
Brazil,1896,October,Amazonas,441,79776,Unknown,31,34,10
Brazil,1896,May,Mato Grosso,380,64407,Human,28,79,54
Greece,1896,July,Athens,493,98334,Human,18,72,9
Greece,1896,June,Crete,365,89809,Human,30,66,49
Australia,1896,October,New South Wales,272,54406,Deforestation,35,25,49
Australia,1896,August,Victoria,361,43046,Unknown,47,77,62
Portugal,1896,May,Lisbon,328,91270,Human,48,92,66
Portugal,1896,September,Porto,347,32274,Unknown,26,50,48
Italy,1896,May,Sicily,151,26749,Unknown,43,26,22
Italy,1896,July,Sardinia,42,96119,Human,43,55,5
Russia,1896,August,Siberia,32,99175,Unknown,17,90,67
Russia,1896,June,Far East,351,11290,Human,15,76,39
Canada,1896,October,British Columbia,218,94005,Human,26,10,28
Canada,1896,July,Alberta,384,29133,Human,43,44,15
France,1896,July,Corsica,436,56144,Unknown,27,65,50
France,1896,October,Provence,373,58657,Deforestation,34,94,40
China,1896,September,Yunnan,249,17187,Lightning,23,92,38
China,1896,May,Sichuan,45,33723,Climate Change,27,68,12
India,1896,October,Madhya Pradesh,151,21486,Climate Change,15,44,20
India,1896,August,Assam,76,78379,Climate Change,26,65,34
Turkey,1897,September,Mugla,94,55498,Unknown,19,12,26
Turkey,1897,July,Antalya,178,79290,Climate Change,37,53,48
Turkey,1897,August,Izmir,342,46837,Lightning,18,37,37
Spain,1897,June,Catalonia,489,98038,Unknown,34,80,16
Spain,1897,May,Andalusia,427,71525,Climate Change,24,70,52
USA,1897,July,California,465,74737,Lightning,23,43,29
USA,1897,July,Texas,88,60158,Climate Change,16,42,4
USA,1897,October,Oregon,300,22885,Human,26,39,66
Brazil,1897,September,Amazonas,467,31805,Climate Change,35,66,50
Brazil,1897,May,Mato Grosso,283,50683,Human,42,25,55
Greece,1897,July,Athens,150,36368,Human,44,64,33
Greece,1897,July,Crete,199,79103,Unknown,29,45,64
Australia,1897,July,New South Wales,52,47875,Lightning,47,28,40
Australia,1897,June,Victoria,444,40703,Climate Change,21,72,38
Portugal,1897,May,Lisbon,197,84626,Unknown,33,33,61
