Country,Year,Month,Region,Fires_Count,Burned_Area_Km,Cause,Temperature_C,Humidity_Percent,Wind_Speed_kmh,Period,Latitude,Longitude,Fires_Count_transform,Burned_Area_Km_transform,Temperature_C_transform,Wind_Speed_kmh_transform,Humidity_Percent_transform
Australia,1881,May,Victoria,349.0,408.74,Human,38.0,0.05,9.0,"[1881, 1891)",-36.5986096,144.6780052,5.857933154483459,6.015522812201053,3.6635616461296463,2.302585092994046,0.048790164169432
Portugal,1881,July,Lisbon,85.0,332.59,Deforestation,49.0,0.37,6.0,"[1881, 1891)",38.7077507,-9.1365919,4.454347296253507,5.809912694016117,3.912023005428146,1.9459101490553132,0.3148107398400335
Portugal,1881,June,Porto,235.0,646.05,Human,42.0,0.11,13.0,"[1881, 1891)",41.1502195,-8.6103497,5.4638318050256105,6.472423571267679,3.7612001156935624,2.6390573296152584,0.1043600153242427
Italy,1881,June,Sicily,37.0,892.35,Climate Change,49.0,0.48,36.0,"[1881, 1891)",37.587794,14.155048,3.6375861597263857,6.794978441379176,3.912023005428146,3.610917912644224,0.3920420877760237
Italy,1881,May,Sardinia,231.0,82.1,Deforestation,15.0,0.09,15.0,"[1881, 1891)",40.0912813,9.0305773,5.44673737166631,4.420044701861403,2.772588722239781,2.772588722239781,0.0861776962410523
Russia,1881,July,Siberia,397.0,3.06,Lightning,27.0,0.55,64.0,"[1881, 1891)",61.0137,99.1967,5.986452005284438,1.4011829736136412,3.332204510175204,4.174387269895637,0.4382549309311553
Russia,1881,May,Far East,56.0,543.68,Unknown,44.0,0.27,16.0,"[1881, 1891)",63.3109,135.0,4.04305126783455,6.300198466256375,3.80666248977032,2.833213344056216,0.2390169004704999
Canada,1881,July,British Columbia,33.0,339.27,Climate Change,46.0,0.75,60.0,"[1881, 1891)",55.001251,-125.002441,3.5263605246161616,5.829739420112677,3.8501476017100584,4.110873864173311,0.5596157879354227
Canada,1881,July,Alberta,90.0,223.99,Lightning,20.0,0.32,29.0,"[1881, 1891)",55.001251,-115.002136,4.51085950651685,5.416055956772293,3.044522437723423,3.4011973816621555,0.2776317365982795
France,1881,August,Corsica,48.0,260.39,Deforestation,42.0,0.93,63.0,"[1881, 1891)",42.188098,9.0683139,3.8918202981106265,5.566013544911305,3.7612001156935624,4.1588830833596715,0.6575200029167942
France,1881,May,Provence,389.0,669.42,Human,27.0,0.07,28.0,"[1881, 1891)",44.0145,6.2116,5.966146739123692,6.507904381658441,3.332204510175204,3.367295829986474,0.0676586484738148
China,1881,May,Yunnan,322.0,38.48,Human,38.0,0.83,60.0,"[1881, 1891)",25.0453,102.7097,5.777652323222656,3.675794214565281,3.6635616461296463,4.110873864173311,0.6043159668533296
China,1881,October,Sichuan,164.0,959.39,Human,26.0,0.43,3.0,"[1881, 1891)",30.6509,104.0757,5.10594547390058,6.867339451964693,3.295836866004329,1.3862943611198906,0.3576744442718159
India,1881,July,Madhya Pradesh,117.0,672.72,Human,31.0,0.63,3.0,"[1881, 1891)",22.9734,78.6569,4.770684624465665,6.512814594330186,3.4657359027997265,1.3862943611198906,0.4885800148186709
India,1881,June,Assam,224.0,9.54,Climate Change,46.0,0.05,20.0,"[1881, 1891)",26.2006,92.9376,5.41610040220442,2.355177543113216,3.8501476017100584,3.044522437723423,0.048790164169432
Turkey,1882,October,Mugla,134.0,871.92,Unknown,40.0,0.36,33.0,"[1881, 1891)",37.2154,28.3634,4.90527477843843,6.771843913610799,3.713572066704308,3.5263605246161616,0.3074846997479606
Turkey,1882,August,Antalya,443.0,986.06,Deforestation,31.0,0.42,25.0,"[1881, 1891)",36.8969,30.7133,6.095824562432225,6.894730827859384,3.4657359027997265,3.258096538021482,0.3506568716131693
Turkey,1882,September,Izmir,376.0,658.33,Deforestation,30.0,0.77,60.0,"[1881, 1891)",38.4237,27.1428,5.932245187448011,6.4912241678900395,3.4339872044851463,4.110873864173311,0.5709795465857378
Spain,1882,October,Catalonia,468.0,158.08,Deforestation,34.0,0.63,37.0,"[1881, 1891)",41.5912,1.5209,6.150602768446279,5.06940722033949,3.5553480614894135,3.6375861597263857,0.4885800148186709
Spain,1882,July,Andalusia,350.0,348.54,Deforestation,34.0,0.75,53.0,"[1881, 1891)",37.5443,4.7278,5.860786223465865,5.856618004338215,3.5553480614894135,3.9889840465642745,0.5596157879354227
USA,1882,May,California,421.0,839.79,Lightning,15.0,0.15,58.0,"[1881, 1891)",36.7783,-118.755997,6.045005314036012,6.73434192605719,2.772588722239781,4.07753744390572,0.1397619423751586
USA,1882,May,Texas,438.0,473.54,Lightning,49.0,0.11,17.0,"[1881, 1891)",31.9686,-98.5456116,6.0844994130751715,6.162345913759381,3.912023005428146,2.8903717578961645,0.1043600153242427
USA,1882,June,Oregon,116.0,164.71,Unknown,16.0,0.05,49.0,"[1881, 1891)",43.8041,-120.737257,4.762173934797756,5.110239272641702,2.833213344056216,3.912023005428146,0.048790164169432
Brazil,1882,October,Amazonas,144.0,210.32,Climate Change,46.0,0.13,20.0,"[1881, 1891)",-3.0967614,-65.8561,4.976733742420574,5.353373572296115,3.8501476017100584,3.044522437723423,0.1222176327242492
Brazil,1882,July,Mato Grosso,408.0,63.95,Human,38.0,0.79,37.0,"[1881, 1891)",-12.2115009,-55.5716547,6.013715156042802,4.173617743116608,3.6635616461296463,3.6375861597263857,0.5822156198526637
Greece,1882,October,Athens,108.0,613.67,Deforestation,39.0,0.29,19.0,"[1881, 1891)",37.9755648,23.7348324,4.6913478822291435,6.421085538427217,3.688879454113936,2.995732273553991,0.2546422183735807
Greece,1882,October,Crete,342.0,776.05,Deforestation,30.0,0.65,42.0,"[1881, 1891)",35.3084952,24.4633423,5.8377304471659395,6.655504698361621,3.4339872044851463,3.7612001156935624,0.5007752879124893
Australia,1882,August,New South Wales,165.0,385.67,Human,28.0,0.25,49.0,"[1881, 1891)",-31.8759835,147.2869493,5.111987788356544,5.957571616084798,3.367295829986474,3.912023005428146,0.2231435513142097
Australia,1882,August,Victoria,388.0,463.14,Deforestation,31.0,0.37,49.0,"[1881, 1891)",-36.5986096,144.6780052,5.963579343618446,6.140186230854613,3.4657359027997265,3.912023005428146,0.3148107398400335
Portugal,1882,August,Lisbon,447.0,409.18,Climate Change,22.0,0.31,28.0,"[1881, 1891)",38.7077507,-9.1365919,6.104793232414985,6.016596087745587,3.1354942159291497,3.367295829986474,0.2700271372130601
Portugal,1882,June,Porto,281.0,541.45,Human,42.0,0.68,62.0,"[1881, 1891)",41.1502195,-8.6103497,5.641907070938114,6.2960959152684595,3.7612001156935624,4.143134726391533,0.5187937934151676
Italy,1882,July,Sicily,8.0,738.44,Unknown,42.0,0.34,47.0,"[1881, 1891)",37.587794,14.155048,2.1972245773362196,6.605893142956522,3.7612001156935624,3.871201010907891,0.29266961396282
Italy,1882,September,Sardinia,10.0,473.02,Unknown,38.0,0.5,54.0,"[1881, 1891)",40.0912813,9.0305773,2.3978952727983707,6.161249514897758,3.6635616461296463,4.007333185232471,0.4054651081081644
Russia,1882,July,Siberia,192.0,543.4,Unknown,35.0,0.36,34.0,"[1881, 1891)",61.0137,99.1967,5.262690188904886,6.299684270777311,3.58351893845611,3.5553480614894135,0.3074846997479606
Russia,1882,July,Far East,132.0,267.41,Human,45.0,0.58,59.0,"[1881, 1891)",63.3109,135.0,4.890349128221754,5.592515662227615,3.828641396489095,4.0943445622221,0.4574248470388754
Canada,1882,July,British Columbia,364.0,519.85,Lightning,46.0,0.51,24.0,"[1881, 1891)",55.001251,-125.002441,5.8998973535824915,6.255462092430458,3.8501476017100584,3.218875824868201,0.412109650826833
Canada,1882,June,Alberta,131.0,821.74,Lightning,16.0,0.94,18.0,"[1881, 1891)",55.001251,-115.002136,4.882801922586371,6.712640233389208,2.833213344056216,2.9444389791664403,0.6626879730752367
France,1882,May,Corsica,397.0,781.69,Climate Change,40.0,0.54,26.0,"[1881, 1891)",42.188098,9.0683139,5.986452005284438,6.662736704441964,3.713572066704308,3.295836866004329,0.4317824164255378
France,1882,September,Provence,320.0,876.45,Human,34.0,0.69,9.0,"[1881, 1891)",44.0145,6.2116,5.771441123130016,6.777019973659616,3.5553480614894135,2.302585092994046,0.5247285289349821
China,1882,October,Yunnan,404.0,765.29,Unknown,37.0,0.19,67.0,"[1881, 1891)",25.0453,102.7097,6.003887067106539,6.641560688171779,3.6375861597263857,4.219507705176107,0.173953307123438
China,1882,October,Sichuan,55.0,939.48,Lightning,36.0,0.62,59.0,"[1881, 1891)",30.6509,104.0757,4.02535169073515,6.846390383230553,3.610917912644224,4.0943445622221,0.4824261492442927
India,1882,October,Madhya Pradesh,309.0,704.13,Deforestation,47.0,0.12,54.0,"[1881, 1891)",22.9734,78.6569,5.736572297479192,6.558382182976322,3.871201010907891,4.007333185232471,0.1133286853070031
India,1882,August,Assam,496.0,488.47,Climate Change,18.0,0.1,48.0,"[1881, 1891)",26.2006,92.9376,6.208590026096629,6.19332317306486,2.9444389791664403,3.8918202981106265,0.0953101798043248
Turkey,1883,July,Mugla,315.0,727.15,Unknown,30.0,0.17,31.0,"[1881, 1891)",37.2154,28.3634,5.755742213586912,6.590507070928589,3.4339872044851463,3.4657359027997265,0.1570037488096647
Turkey,1883,July,Antalya,149.0,739.47,Deforestation,42.0,0.62,56.0,"[1881, 1891)",36.8969,30.7133,5.0106352940962555,6.607285119720394,3.7612001156935624,4.04305126783455,0.4824261492442927
Turkey,1883,June,Izmir,233.0,323.17,Climate Change,37.0,0.13,13.0,"[1881, 1891)",38.4237,27.1428,5.455321115357702,5.781268069547974,3.6375861597263857,2.6390573296152584,0.1222176327242492
Spain,1883,September,Catalonia,133.0,667.17,Lightning,15.0,0.38,49.0,"[1881, 1891)",41.5912,1.5209,4.897839799950911,6.504542632177263,2.772588722239781,3.912023005428146,0.3220834991691133
Spain,1883,May,Andalusia,492.0,566.56,Climate Change,15.0,0.2,62.0,"[1881, 1891)",37.5443,4.7278,6.20050917404269,6.341346470639112,2.772588722239781,4.143134726391533,0.1823215567939546
USA,1883,September,California,282.0,597.38,Deforestation,26.0,0.3,17.0,"[1881, 1891)",36.7783,-118.755997,5.645446897643238,6.3942260036418315,3.295836866004329,2.8903717578961645,0.262364264467491
USA,1883,July,Texas,489.0,728.89,Human,43.0,0.82,48.0,"[1881, 1891)",31.9686,-98.5456116,6.194405391104672,6.592893837856815,3.784189633918261,3.8918202981106265,0.598836501088704
USA,1883,May,Oregon,98.0,960.81,Unknown,19.0,0.8,17.0,"[1881, 1891)",43.8041,-120.737257,4.59511985013459,6.8688169259614815,2.995732273553991,2.8903717578961645,0.5877866649021191
Brazil,1883,June,Amazonas,478.0,353.47,Climate Change,47.0,0.27,11.0,"[1881, 1891)",-3.0967614,-65.8561,6.171700597410915,5.870623716157048,3.871201010907891,2.4849066497880004,0.2390169004704999
Brazil,1883,October,Mato Grosso,329.0,974.79,Lightning,45.0,0.14,20.0,"[1881, 1891)",-12.2115009,-55.5716547,5.799092654460526,6.883247399327586,3.828641396489095,3.044522437723423,0.1310282624064041
Greece,1883,June,Athens,100.0,602.6,Climate Change,18.0,0.2,25.0,"[1881, 1891)",37.9755648,23.7348324,4.61512051684126,6.402911726893694,2.9444389791664403,3.258096538021482,0.1823215567939546
Greece,1883,June,Crete,480.0,911.07,Deforestation,34.0,0.28,13.0,"[1881, 1891)",35.3084952,24.4633423,6.175867270105761,6.815716741514829,3.5553480614894135,2.6390573296152584,0.2468600779315258
Australia,1883,June,New South Wales,167.0,352.95,Human,47.0,0.65,52.0,"[1881, 1891)",-31.8759835,147.2869493,5.123963979403259,5.869155660220199,3.871201010907891,3.970291913552122,0.5007752879124893
Australia,1883,July,Victoria,105.0,979.56,Human,24.0,0.47,45.0,"[1881, 1891)",-36.5986096,144.6780052,4.663439094112067,6.88812383703291,3.218875824868201,3.828641396489095,0.3852624007906449
Portugal,1883,September,Lisbon,401.0,861.27,Lightning,49.0,0.91,9.0,"[1881, 1891)",38.7077507,-9.1365919,5.996452088619021,6.759568446676971,3.912023005428146,2.302585092994046,0.6471032420585385
Portugal,1883,September,Porto,414.0,154.05,Lightning,48.0,0.11,69.0,"[1881, 1891)",41.1502195,-8.6103497,6.028278520230698,5.043747645546458,3.8918202981106265,4.248495242049359,0.1043600153242427
Italy,1883,June,Sicily,118.0,261.92,Deforestation,43.0,0.4,22.0,"[1881, 1891)",37.587794,14.155048,4.77912349311153,5.571849803395375,3.784189633918261,3.1354942159291497,0.3364722366212129
Italy,1883,September,Sardinia,253.0,445.25,Climate Change,23.0,0.28,65.0,"[1881, 1891)",40.0912813,9.0305773,5.537334267018537,6.100879333093848,3.1780538303479458,4.189654742026425,0.2468600779315258
Russia,1883,July,Siberia,181.0,831.42,Unknown,32.0,0.28,24.0,"[1881, 1891)",61.0137,99.1967,5.204006687076795,6.7243371211409775,3.49650756146648,3.218875824868201,0.2468600779315258
Russia,1883,October,Far East,228.0,615.76,Unknown,27.0,0.27,31.0,"[1881, 1891)",63.3109,135.0,5.43372200355424,6.424479969303152,3.332204510175204,3.4657359027997265,0.2390169004704999
Canada,1883,May,British Columbia,373.0,144.97,Unknown,39.0,0.9,14.0,"[1881, 1891)",55.001251,-125.002441,5.924255797414532,4.983401121142487,3.688879454113936,2.70805020110221,0.6418538861723948
Canada,1883,July,Alberta,23.0,473.8,Unknown,26.0,0.65,20.0,"[1881, 1891)",55.001251,-115.002136,3.1780538303479458,6.162893662735513,3.295836866004329,3.044522437723423,0.5007752879124893
France,1883,August,Corsica,269.0,353.7,Unknown,28.0,0.56,17.0,"[1881, 1891)",42.188098,9.0683139,5.598421958998375,5.871272361779576,3.367295829986474,2.8903717578961645,0.4446858212614457
France,1883,September,Provence,73.0,892.12,Unknown,35.0,0.57,24.0,"[1881, 1891)",44.0145,6.2116,4.30406509320417,6.7947209503479575,3.58351893845611,3.218875824868201,0.4510756193602167
China,1883,May,Yunnan,43.0,841.76,Climate Change,28.0,0.09,36.0,"[1881, 1891)",25.0453,102.7097,3.784189633918261,6.736682219958929,3.367295829986474,3.610917912644224,0.0861776962410523
China,1883,September,Sichuan,239.0,900.3,Lightning,26.0,0.13,59.0,"[1881, 1891)",30.6509,104.0757,5.480638923341991,6.803838165562364,3.295836866004329,4.0943445622221,0.1222176327242492
India,1883,August,Madhya Pradesh,405.0,771.52,Climate Change,23.0,0.54,28.0,"[1881, 1891)",22.9734,78.6569,6.0063531596017325,6.649657898404398,3.1780538303479458,3.367295829986474,0.4317824164255378
India,1883,June,Assam,198.0,835.6,Climate Change,33.0,0.12,66.0,"[1881, 1891)",26.2006,92.9376,5.293304824724492,6.7293460590080985,3.5263605246161616,4.204692619390966,0.1133286853070031
Turkey,1884,October,Mugla,149.0,579.54,Human,18.0,0.4,32.0,"[1881, 1891)",37.2154,28.3634,5.0106352940962555,6.363958704879447,2.9444389791664403,3.49650756146648,0.3364722366212129
Turkey,1884,July,Antalya,449.0,268.9,Deforestation,24.0,0.94,20.0,"[1881, 1891)",36.8969,30.7133,6.1092475827643655,5.598051520023959,3.218875824868201,3.044522437723423,0.6626879730752367
Turkey,1884,October,Izmir,455.0,862.88,Climate Change,42.0,0.62,21.0,"[1881, 1891)",38.4237,27.1428,6.1224928095143865,6.761433870269212,3.7612001156935624,3.091042453358316,0.4824261492442927
Spain,1884,August,Catalonia,460.0,132.16,Human,15.0,0.07,63.0,"[1881, 1891)",41.5912,1.5209,6.133398042996649,4.891551412706824,2.772588722239781,4.1588830833596715,0.0676586484738148
Spain,1884,May,Andalusia,195.0,999.35,Human,39.0,0.6,34.0,"[1881, 1891)",37.5443,4.7278,5.278114659230517,6.908105217746425,3.688879454113936,3.5553480614894135,0.4700036292457355
USA,1884,October,California,121.0,677.41,Unknown,46.0,0.49,62.0,"[1881, 1891)",36.7783,-118.755997,4.804021044733257,6.51975182493509,3.8501476017100584,4.143134726391533,0.3987761199573678
USA,1884,September,Texas,84.0,931.45,Climate Change,25.0,0.4,20.0,"[1881, 1891)",31.9686,-98.5456116,4.442651256490317,6.837815530777456,3.258096538021482,3.044522437723423,0.3364722366212129
USA,1884,August,Oregon,445.0,718.26,Human,28.0,0.19,32.0,"[1881, 1891)",43.8041,-120.737257,6.100318952020064,6.578222905706574,3.367295829986474,3.49650756146648,0.173953307123438
Brazil,1884,May,Amazonas,377.0,689.66,Human,25.0,0.16,17.0,"[1881, 1891)",-3.0967614,-65.8561,5.934894195619588,6.537647662155026,3.258096538021482,2.8903717578961645,0.1484200051182732
Brazil,1884,October,Mato Grosso,464.0,240.59,Unknown,22.0,0.4,9.0,"[1881, 1891)",-12.2115009,-55.5716547,6.142037405587356,5.487242074475564,3.1354942159291497,2.302585092994046,0.3364722366212129
Greece,1884,June,Athens,320.0,320.21,Unknown,42.0,0.45,65.0,"[1881, 1891)",37.9755648,23.7348324,5.771441123130016,5.772095114838288,3.7612001156935624,4.189654742026425,0.371563556432483
Greece,1884,July,Crete,451.0,381.88,Human,34.0,0.81,30.0,"[1881, 1891)",35.3084952,24.4633423,6.113682179832232,5.947721624160063,3.5553480614894135,3.4339872044851463,0.5933268452777344
Australia,1884,September,New South Wales,50.0,455.45,Lightning,19.0,0.51,26.0,"[1881, 1891)",-31.8759835,147.2869493,3.9318256327243257,6.12347916501109,2.995732273553991,3.295836866004329,0.412109650826833
Australia,1884,June,Victoria,14.0,848.91,Lightning,19.0,0.37,66.0,"[1881, 1891)",-36.5986096,144.6780052,2.70805020110221,6.745130461525489,2.995732273553991,4.204692619390966,0.3148107398400335
Portugal,1884,June,Lisbon,228.0,623.92,Lightning,39.0,0.9,60.0,"[1881, 1891)",38.7077507,-9.1365919,5.43372200355424,6.437623641543702,3.688879454113936,4.110873864173311,0.6418538861723948
Portugal,1884,July,Porto,181.0,466.4,Human,48.0,0.05,22.0,"[1881, 1891)",41.1502195,-8.6103497,5.204006687076795,6.147185422104758,3.8918202981106265,3.1354942159291497,0.048790164169432
Italy,1884,October,Sicily,480.0,184.84,Climate Change,45.0,0.09,4.0,"[1881, 1891)",37.587794,14.155048,6.175867270105761,5.224886088462154,3.828641396489095,1.6094379124341005,0.0861776962410523
Italy,1884,September,Sardinia,27.0,236.24,Climate Change,24.0,0.78,18.0,"[1881, 1891)",40.0912813,9.0305773,3.332204510175204,5.469072286970526,3.218875824868201,2.9444389791664403,0.5766133643039938
Russia,1884,September,Siberia,82.0,388.65,Human,27.0,0.08,63.0,"[1881, 1891)",61.0137,99.1967,4.418840607796598,5.96524890028957,3.332204510175204,4.1588830833596715,0.0769610411361283
Russia,1884,May,Far East,373.0,456.43,Lightning,42.0,0.76,40.0,"[1881, 1891)",63.3109,135.0,5.924255797414532,6.125623867544565,3.7612001156935624,3.713572066704308,0.5653138090500605
Canada,1884,June,British Columbia,254.0,581.17,Deforestation,26.0,0.69,55.0,"[1881, 1891)",55.001251,-125.002441,5.541263545158426,6.366762501299574,3.295836866004329,4.02535169073515,0.5247285289349821
Canada,1884,August,Alberta,393.0,243.85,Deforestation,31.0,0.51,24.0,"[1881, 1891)",55.001251,-115.002136,5.976350909297934,5.500645778148327,3.4657359027997265,3.218875824868201,0.412109650826833
France,1884,September,Corsica,345.0,778.09,Lightning,25.0,0.55,39.0,"[1881, 1891)",42.188098,9.0683139,5.846438775057725,6.65812657193163,3.258096538021482,3.688879454113936,0.4382549309311553
France,1884,August,Provence,230.0,70.49,Lightning,48.0,0.86,31.0,"[1881, 1891)",44.0145,6.2116,5.442417710521793,4.26955757977876,3.8918202981106265,3.4657359027997265,0.6205764877251099
China,1884,July,Yunnan,439.0,619.86,Lightning,47.0,0.92,31.0,"[1881, 1891)",25.0453,102.7097,6.0867747269123065,6.431105613683284,3.871201010907891,3.4657359027997265,0.6523251860396903
China,1884,June,Sichuan,55.0,431.88,Climate Change,43.0,0.08,11.0,"[1881, 1891)",30.6509,104.0757,4.02535169073515,6.07046055333448,3.784189633918261,2.4849066497880004,0.0769610411361283
India,1884,May,Madhya Pradesh,334.0,200.63,Unknown,38.0,0.73,35.0,"[1881, 1891)",22.9734,78.6569,5.814130531825066,5.3064343346499845,3.6635616461296463,3.58351893845611,0.5481214085096876
India,1884,October,Assam,57.0,56.69,Climate Change,25.0,0.27,56.0,"[1881, 1891)",26.2006,92.9376,4.060443010546419,4.055083848268798,3.258096538021482,4.04305126783455,0.2390169004704999
Turkey,1885,July,Mugla,378.0,225.15,Unknown,18.0,0.6,26.0,"[1881, 1891)",37.2154,28.3634,5.937536205082426,5.421198495923853,2.9444389791664403,3.295836866004329,0.4700036292457355
Turkey,1885,July,Antalya,356.0,335.34,Climate Change,46.0,0.54,62.0,"[1881, 1891)",36.8969,30.7133,5.877735781779639,5.818122553094604,3.8501476017100584,4.143134726391533,0.4317824164255378
Turkey,1885,June,Izmir,55.0,240.54,Climate Change,19.0,0.86,43.0,"[1881, 1891)",38.4237,27.1428,4.02535169073515,5.487035090847229,2.995732273553991,3.784189633918261,0.6205764877251099
Spain,1885,September,Catalonia,26.0,793.52,Human,19.0,0.16,47.0,"[1881, 1891)",41.5912,1.5209,3.295836866004329,6.677738158724755,2.995732273553991,3.871201010907891,0.1484200051182732
Spain,1885,June,Andalusia,437.0,919.65,Climate Change,41.0,0.77,27.0,"[1881, 1891)",37.5443,4.7278,6.082218910376446,6.825079942313229,3.737669618283368,3.332204510175204,0.5709795465857378
USA,1885,May,California,51.0,53.4,Deforestation,31.0,0.3,37.0,"[1881, 1891)",36.7783,-118.755997,3.951243718581427,3.996364153861897,3.4657359027997265,3.6375861597263857,0.262364264467491
USA,1885,May,Texas,12.0,798.14,Climate Change,29.0,0.51,57.0,"[1881, 1891)",31.9686,-98.5456116,2.5649493574615367,6.683536149440994,3.4011973816621555,4.060443010546419,0.412109650826833
USA,1885,October,Oregon,18.0,287.99,Lightning,40.0,0.18,60.0,"[1881, 1891)",43.8041,-120.737257,2.9444389791664403,5.666392085437642,3.713572066704308,4.110873864173311,0.1655144384775733
Brazil,1885,July,Amazonas,11.0,52.22,Deforestation,32.0,0.42,16.0,"[1881, 1891)",-3.0967614,-65.8561,2.4849066497880004,3.9744342655495433,3.49650756146648,2.833213344056216,0.3506568716131693
Brazil,1885,May,Mato Grosso,123.0,103.67,Lightning,31.0,0.9,45.0,"[1881, 1891)",-12.2115009,-55.5716547,4.820281565605037,4.650812543866793,3.4657359027997265,3.828641396489095,0.6418538861723948
Greece,1885,May,Athens,149.0,36.96,Unknown,39.0,0.72,11.0,"[1881, 1891)",37.9755648,23.7348324,5.0106352940962555,3.636532973741727,3.688879454113936,2.4849066497880004,0.5423242908253617
Greece,1885,July,Crete,237.0,268.34,Unknown,36.0,0.38,9.0,"[1881, 1891)",35.3084952,24.4633423,5.472270673671475,5.595974522021896,3.610917912644224,2.302585092994046,0.3220834991691133
Australia,1885,May,New South Wales,240.0,723.74,Lightning,20.0,0.56,27.0,"[1881, 1891)",-31.8759835,147.2869493,5.484796933490655,6.585812969845242,3.044522437723423,3.332204510175204,0.4446858212614457
Australia,1885,June,Victoria,447.0,758.03,Deforestation,20.0,0.37,54.0,"[1881, 1891)",-36.5986096,144.6780052,6.104793232414985,6.63204130230621,3.044522437723423,4.007333185232471,0.3148107398400335
Portugal,1885,October,Lisbon,281.0,17.05,Unknown,44.0,0.79,63.0,"[1881, 1891)",38.7077507,-9.1365919,5.641907070938114,2.89314568477889,3.80666248977032,4.1588830833596715,0.5822156198526637
Portugal,1885,October,Porto,354.0,140.18,Human,17.0,0.35,41.0,"[1881, 1891)",41.1502195,-8.6103497,5.872117789475416,4.950035671967326,2.8903717578961645,3.737669618283368,0.300104592450338
Italy,1885,September,Sicily,40.0,92.11,Lightning,34.0,0.79,5.0,"[1881, 1891)",37.587794,14.155048,3.713572066704308,4.533781589900438,3.5553480614894135,1.791759469228055,0.5822156198526637
Italy,1885,October,Sardinia,122.0,845.71,Deforestation,16.0,0.83,9.0,"[1881, 1891)",40.0912813,9.0305773,4.812184355372417,6.741358251137127,2.833213344056216,2.302585092994046,0.6043159668533296
Russia,1885,June,Siberia,439.0,883.36,Unknown,19.0,0.74,27.0,"[1881, 1891)",61.0137,99.1967,6.0867747269123065,6.784864219557019,2.995732273553991,3.332204510175204,0.5538851132264376
Russia,1885,October,Far East,328.0,920.22,Unknown,47.0,0.24,13.0,"[1881, 1891)",63.3109,135.0,5.796057750765372,6.8256988785228385,3.871201010907891,2.6390573296152584,0.2151113796169455
Canada,1885,May,British Columbia,94.0,785.77,Climate Change,25.0,0.81,4.0,"[1881, 1891)",55.001251,-125.002441,4.553876891600541,6.667935956657314,3.258096538021482,1.6094379124341005,0.5933268452777344
Canada,1885,May,Alberta,394.0,594.83,Lightning,19.0,0.27,11.0,"[1881, 1891)",55.001251,-115.002136,5.978885764901122,6.38995539147881,2.995732273553991,2.4849066497880004,0.2390169004704999
