Country,Year,Month,Region,Fires_Count,Burned_Area_Km,Cause,Temperature_C,Humidity_Percent,Wind_Speed_kmh,Period,Latitude,Longitude
China,1881,October,Sichuan,164,959.39,Human,26,0.43,3,"[1881, 1891)",30.6509,104.0757
India,1881,July,Madhya Pradesh,117,672.72,Human,31,0.63,3,"[1881, 1891)",22.9734,78.6569
India,1881,June,Assam,224,9.54,Climate Change,46,0.05,20,"[1881, 1891)",26.2006,92.9376
Turkey,1882,October,Mugla,134,871.92,Unknown,40,0.36,33,"[1881, 1891)",37.2154,28.3634
Turkey,1882,August,Antalya,443,986.06,Deforestation,31,0.42,25,"[1881, 1891)",36.8969,30.7133
Turkey,1882,September,Izmir,376,658.33,Deforestation,30,0.77,60,"[1881, 1891)",38.4237,27.1428
Spain,1882,October,Catalonia,468,158.08,Deforestation,34,0.63,37,"[1881, 1891)",41.5912,1.5209
Spain,1882,July,Andalusia,350,348.54,Deforestation,34,0.75,53,"[1881, 1891)",37.5443,4.7278
USA,1882,May,California,421,839.79,Lightning,15,0.15,58,"[1881, 1891)",36.7783,-118.755997
USA,1882,May,Texas,438,473.54,Lightning,49,0.11,17,"[1881, 1891)",31.9686,-98.5456116
USA,1882,June,Oregon,116,164.71,Unknown,16,0.05,49,"[1881, 1891)",43.8041,-120.737257
Brazil,1882,October,Amazonas,144,210.32,Climate Change,46,0.13,20,"[1881, 1891)",-3.0967614,-65.8561
Brazil,1882,July,Mato Grosso,408,63.95,Human,38,0.79,37,"[1881, 1891)",-12.2115009,-55.5716547
Greece,1882,October,Athens,108,613.67,Deforestation,39,0.29,19,"[1881, 1891)",37.9755648,23.7348324
Greece,1882,October,Crete,342,776.05,Deforestation,30,0.65,42,"[1881, 1891)",35.3084952,24.4633423
Australia,1882,August,New South Wales,165,385.67,Human,28,0.25,49,"[1881, 1891)",-31.8759835,147.2869493
Australia,1882,August,Victoria,388,463.14,Deforestation,31,0.37,49,"[1881, 1891)",-36.5986096,144.6780052
Portugal,1882,August,Lisbon,447,409.18,Climate Change,22,0.31,28,"[1881, 1891)",38.7077507,-9.1365919
Portugal,1882,June,Porto,281,541.45,Human,42,0.68,62,"[1881, 1891)",41.1502195,-8.6103497
Italy,1882,July,Sicily,8,738.44,Unknown,42,0.34,47,"[1881, 1891)",37.587794,14.155048
Italy,1882,September,Sardinia,10,473.02,Unknown,38,0.5,54,"[1881, 1891)",40.0912813,9.0305773
Russia,1882,July,Siberia,192,543.4,Unknown,35,0.36,34,"[1881, 1891)",61.0137,99.1967
Russia,1882,July,Far East,132,267.41,Human,45,0.58,59,"[1881, 1891)",63.3109,135
Canada,1882,July,British Columbia,364,519.85,Lightning,46,0.51,24,"[1881, 1891)",55.001251,-125.002441
Canada,1882,June,Alberta,131,821.74,Lightning,16,0.94,18,"[1881, 1891)",55.001251,-115.002136
France,1882,May,Corsica,397,781.69,Climate Change,40,0.54,26,"[1881, 1891)",42.188098,9.0683139
France,1882,September,Provence,320,876.45,Human,34,0.69,9,"[1881, 1891)",44.0145,6.2116
China,1882,October,Yunnan,404,765.29,Unknown,37,0.19,67,"[1881, 1891)",25.0453,102.7097
China,1882,October,Sichuan,55,939.48,Lightning,36,0.62,59,"[1881, 1891)",30.6509,104.0757
India,1882,October,Madhya Pradesh,309,704.13,Deforestation,47,0.12,54,"[1881, 1891)",22.9734,78.6569
India,1882,August,Assam,496,488.47,Climate Change,18,0.1,48,"[1881, 1891)",26.2006,92.9376
Turkey,1883,July,Mugla,315,727.15,Unknown,30,0.17,31,"[1881, 1891)",37.2154,28.3634
Turkey,1883,July,Antalya,149,739.47,Deforestation,42,0.62,56,"[1881, 1891)",36.8969,30.7133
Turkey,1883,June,Izmir,233,323.17,Climate Change,37,0.13,13,"[1881, 1891)",38.4237,27.1428
Spain,1883,September,Catalonia,133,667.17,Lightning,15,0.38,49,"[1881, 1891)",41.5912,1.5209
Spain,1883,May,Andalusia,492,566.56,Climate Change,15,0.2,62,"[1881, 1891)",37.5443,4.7278
USA,1883,September,California,282,597.38,Deforestation,26,0.3,17,"[1881, 1891)",36.7783,-118.755997
USA,1883,July,Texas,489,728.89,Human,43,0.82,48,"[1881, 1891)",31.9686,-98.5456116
USA,1883,May,Oregon,98,960.81,Unknown,19,0.8,17,"[1881, 1891)",43.8041,-120.737257
Brazil,1883,June,Amazonas,478,353.47,Climate Change,47,0.27,11,"[1881, 1891)",-3.0967614,-65.8561
Brazil,1883,October,Mato Grosso,329,974.79,Lightning,45,0.14,20,"[1881, 1891)",-12.2115009,-55.5716547
Greece,1883,June,Athens,100,602.6,Climate Change,18,0.2,25,"[1881, 1891)",37.9755648,23.7348324
Greece,1883,June,Crete,480,911.07,Deforestation,34,0.28,13,"[1881, 1891)",35.3084952,24.4633423
Australia,1883,June,New South Wales,167,352.95,Human,47,0.65,52,"[1881, 1891)",-31.8759835,147.2869493
Australia,1883,July,Victoria,105,979.56,Human,24,0.47,45,"[1881, 1891)",-36.5986096,144.6780052
Portugal,1883,September,Lisbon,401,861.27,Lightning,49,0.91,9,"[1881, 1891)",38.7077507,-9.1365919
Portugal,1883,September,Porto,414,154.05,Lightning,48,0.11,69,"[1881, 1891)",41.1502195,-8.6103497
Italy,1883,June,Sicily,118,261.92,Deforestation,43,0.4,22,"[1881, 1891)",37.587794,14.155048
Italy,1883,September,Sardinia,253,445.25,Climate Change,23,0.28,65,"[1881, 1891)",40.0912813,9.0305773
Russia,1883,July,Siberia,181,831.42,Unknown,32,0.28,24,"[1881, 1891)",61.0137,99.1967
Russia,1883,October,Far East,228,615.76,Unknown,27,0.27,31,"[1881, 1891)",63.3109,135
Canada,1883,May,British Columbia,373,144.97,Unknown,39,0.9,14,"[1881, 1891)",55.001251,-125.002441
Canada,1883,July,Alberta,23,473.8,Unknown,26,0.65,20,"[1881, 1891)",55.001251,-115.002136
France,1883,August,Corsica,269,353.7,Unknown,28,0.56,17,"[1881, 1891)",42.188098,9.0683139
France,1883,September,Provence,73,892.12,Unknown,35,0.57,24,"[1881, 1891)",44.0145,6.2116
China,1883,May,Yunnan,43,841.76,Climate Change,28,0.09,36,"[1881, 1891)",25.0453,102.7097
China,1883,September,Sichuan,239,900.3,Lightning,26,0.13,59,"[1881, 1891)",30.6509,104.0757
India,1883,August,Madhya Pradesh,405,771.52,Climate Change,23,0.54,28,"[1881, 1891)",22.9734,78.6569
India,1883,June,Assam,198,835.6,Climate Change,33,0.12,66,"[1881, 1891)",26.2006,92.9376
Turkey,1884,October,Mugla,149,579.54,Human,18,0.4,32,"[1881, 1891)",37.2154,28.3634
Turkey,1884,July,Antalya,449,268.9,Deforestation,24,0.94,20,"[1881, 1891)",36.8969,30.7133
Turkey,1884,October,Izmir,455,862.88,Climate Change,42,0.62,21,"[1881, 1891)",38.4237,27.1428
Spain,1884,August,Catalonia,460,132.16,Human,15,0.07,63,"[1881, 1891)",41.5912,1.5209
Spain,1884,May,Andalusia,195,999.35,Human,39,0.6,34,"[1881, 1891)",37.5443,4.7278
USA,1884,October,California,121,677.41,Unknown,46,0.49,62,"[1881, 1891)",36.7783,-118.755997
USA,1884,September,Texas,84,931.45,Climate Change,25,0.4,20,"[1881, 1891)",31.9686,-98.5456116
USA,1884,August,Oregon,445,718.26,Human,28,0.19,32,"[1881, 1891)",43.8041,-120.737257
Brazil,1884,May,Amazonas,377,689.66,Human,25,0.16,17,"[1881, 1891)",-3.0967614,-65.8561
Brazil,1884,October,Mato Grosso,464,240.59,Unknown,22,0.4,9,"[1881, 1891)",-12.2115009,-55.5716547
Greece,1884,June,Athens,320,320.21,Unknown,42,0.45,65,"[1881, 1891)",37.9755648,23.7348324
Greece,1884,July,Crete,451,381.88,Human,34,0.81,30,"[1881, 1891)",35.3084952,24.4633423
Australia,1884,September,New South Wales,50,455.45,Lightning,19,0.51,26,"[1881, 1891)",-31.8759835,147.2869493
Australia,1884,June,Victoria,14,848.91,Lightning,19,0.37,66,"[1881, 1891)",-36.5986096,144.6780052
Portugal,1884,June,Lisbon,228,623.92,Lightning,39,0.9,60,"[1881, 1891)",38.7077507,-9.1365919
Portugal,1884,July,Porto,181,466.4,Human,48,0.05,22,"[1881, 1891)",41.1502195,-8.6103497
Italy,1884,October,Sicily,480,184.84,Climate Change,45,0.09,4,"[1881, 1891)",37.587794,14.155048
Italy,1884,September,Sardinia,27,236.24,Climate Change,24,0.78,18,"[1881, 1891)",40.0912813,9.0305773
Russia,1884,September,Siberia,82,388.65,Human,27,0.08,63,"[1881, 1891)",61.0137,99.1967
Russia,1884,May,Far East,373,456.43,Lightning,42,0.76,40,"[1881, 1891)",63.3109,135
Canada,1884,June,British Columbia,254,581.17,Deforestation,26,0.69,55,"[1881, 1891)",55.001251,-125.002441
Canada,1884,August,Alberta,393,243.85,Deforestation,31,0.51,24,"[1881, 1891)",55.001251,-115.002136
France,1884,September,Corsica,345,778.09,Lightning,25,0.55,39,"[1881, 1891)",42.188098,9.0683139
France,1884,August,Provence,230,70.49,Lightning,48,0.86,31,"[1881, 1891)",44.0145,6.2116
China,1884,July,Yunnan,439,619.86,Lightning,47,0.92,31,"[1881, 1891)",25.0453,102.7097
China,1884,June,Sichuan,55,431.88,Climate Change,43,0.08,11,"[1881, 1891)",30.6509,104.0757
India,1884,May,Madhya Pradesh,334,200.63,Unknown,38,0.73,35,"[1881, 1891)",22.9734,78.6569
India,1884,October,Assam,57,56.69,Climate Change,25,0.27,56,"[1881, 1891)",26.2006,92.9376
Turkey,1885,July,Mugla,378,225.15,Unknown,18,0.6,26,"[1881, 1891)",37.2154,28.3634
Turkey,1885,July,Antalya,356,335.34,Climate Change,46,0.54,62,"[1881, 1891)",36.8969,30.7133
Turkey,1885,June,Izmir,55,240.54,Climate Change,19,0.86,43,"[1881, 1891)",38.4237,27.1428
Spain,1885,September,Catalonia,26,793.52,Human,19,0.16,47,"[1881, 1891)",41.5912,1.5209
Spain,1885,June,Andalusia,437,919.65,Climate Change,41,0.77,27,"[1881, 1891)",37.5443,4.7278
USA,1885,May,California,51,53.4,Deforestation,31,0.3,37,"[1881, 1891)",36.7783,-118.755997
USA,1885,May,Texas,12,798.14,Climate Change,29,0.51,57,"[1881, 1891)",31.9686,-98.5456116
USA,1885,October,Oregon,18,287.99,Lightning,40,0.18,60,"[1881, 1891)",43.8041,-120.737257
Brazil,1885,July,Amazonas,11,52.22,Deforestation,32,0.42,16,"[1881, 1891)",-3.0967614,-65.8561
Brazil,1885,May,Mato Grosso,123,103.67,Lightning,31,0.9,45,"[1881, 1891)",-12.2115009,-55.5716547
Greece,1885,May,Athens,149,36.96,Unknown,39,0.72,11,"[1881, 1891)",37.9755648,23.7348324
Greece,1885,July,Crete,237,268.34,Unknown,36,0.38,9,"[1881, 1891)",35.3084952,24.4633423
Australia,1885,May,New South Wales,240,723.74,Lightning,20,0.56,27,"[1881, 1891)",-31.8759835,147.2869493
Australia,1885,June,Victoria,447,758.03,Deforestation,20,0.37,54,"[1881, 1891)",-36.5986096,144.6780052
Portugal,1885,October,Lisbon,281,17.05,Unknown,44,0.79,63,"[1881, 1891)",38.7077507,-9.1365919
Portugal,1885,October,Porto,354,140.18,Human,17,0.35,41,"[1881, 1891)",41.1502195,-8.6103497
Italy,1885,September,Sicily,40,92.11,Lightning,34,0.79,5,"[1881, 1891)",37.587794,14.155048
Italy,1885,October,Sardinia,122,845.71,Deforestation,16,0.83,9,"[1881, 1891)",40.0912813,9.0305773
Russia,1885,June,Siberia,439,883.36,Unknown,19,0.74,27,"[1881, 1891)",61.0137,99.1967
Russia,1885,October,Far East,328,920.22,Unknown,47,0.24,13,"[1881, 1891)",63.3109,135
Canada,1885,May,British Columbia,94,785.77,Climate Change,25,0.81,4,"[1881, 1891)",55.001251,-125.002441
Canada,1885,May,Alberta,394,594.83,Lightning,19,0.27,11,"[1881, 1891)",55.001251,-115.002136
France,1885,August,Corsica,390,53.87,Lightning,34,0.69,64,"[1881, 1891)",42.188098,9.0683139
France,1885,September,Provence,333,193.16,Human,25,0.19,25,"[1881, 1891)",44.0145,6.2116
China,1885,October,Yunnan,423,938.89,Human,19,0.66,61,"[1881, 1891)",25.0453,102.7097
China,1885,August,Sichuan,438,675.44,Deforestation,23,0.38,36,"[1881, 1891)",30.6509,104.0757
India,1885,May,Madhya Pradesh,300,362.59,Unknown,43,0.76,12,"[1881, 1891)",22.9734,78.6569
India,1885,May,Assam,233,306.23,Deforestation,35,0.41,6,"[1881, 1891)",26.2006,92.9376
Turkey,1886,July,Mugla,383,1.77,Lightning,18,0.93,43,"[1881, 1891)",37.2154,28.3634
Turkey,1886,May,Antalya,406,434.03,Deforestation,47,0.27,64,"[1881, 1891)",36.8969,30.7133
Turkey,1886,May,Izmir,157,678.28,Human,16,0.82,54,"[1881, 1891)",38.4237,27.1428
Spain,1886,July,Catalonia,43,676.06,Deforestation,21,0.55,43,"[1881, 1891)",41.5912,1.5209
Spain,1886,August,Andalusia,19,714.24,Human,44,0.31,37,"[1881, 1891)",37.5443,4.7278
USA,1886,September,California,42,978.2,Human,41,0.59,34,"[1881, 1891)",36.7783,-118.755997
USA,1886,October,Texas,200,191.29,Lightning,24,0.09,39,"[1881, 1891)",31.9686,-98.5456116
USA,1886,September,Oregon,163,295.86,Unknown,38,0.56,57,"[1881, 1891)",43.8041,-120.737257
Brazil,1886,September,Amazonas,140,648.72,Climate Change,18,0.8,46,"[1881, 1891)",-3.0967614,-65.8561
Brazil,1886,June,Mato Grosso,415,165.78,Deforestation,40,0.47,28,"[1881, 1891)",-12.2115009,-55.5716547
Greece,1886,September,Athens,152,779.34,Lightning,20,0.76,24,"[1881, 1891)",37.9755648,23.7348324
Greece,1886,June,Crete,306,905.74,Unknown,40,0.17,63,"[1881, 1891)",35.3084952,24.4633423
Australia,1886,June,New South Wales,477,154.28,Unknown,26,0.72,6,"[1881, 1891)",-31.8759835,147.2869493
Australia,1886,September,Victoria,332,2.26,Lightning,42,0.35,10,"[1881, 1891)",-36.5986096,144.6780052
Portugal,1886,October,Lisbon,55,444.27,Human,36,0.15,24,"[1881, 1891)",38.7077507,-9.1365919
Portugal,1886,May,Porto,306,222.16,Climate Change,40,0.4,55,"[1881, 1891)",41.1502195,-8.6103497
Italy,1886,May,Sicily,5,532.73,Deforestation,29,0.25,48,"[1881, 1891)",37.587794,14.155048
Italy,1886,May,Sardinia,313,975.16,Lightning,40,0.45,36,"[1881, 1891)",40.0912813,9.0305773
Russia,1886,August,Siberia,29,736.09,Lightning,21,0.86,35,"[1881, 1891)",61.0137,99.1967
Russia,1886,July,Far East,21,68.83,Deforestation,38,0.29,53,"[1881, 1891)",63.3109,135
Canada,1886,October,British Columbia,348,463.4,Human,43,0.67,23,"[1881, 1891)",55.001251,-125.002441
Canada,1886,June,Alberta,160,163.41,Climate Change,21,0.85,50,"[1881, 1891)",55.001251,-115.002136
France,1886,August,Corsica,122,250.17,Unknown,21,0.05,14,"[1881, 1891)",42.188098,9.0683139
France,1886,October,Provence,219,25.82,Deforestation,33,0.66,33,"[1881, 1891)",44.0145,6.2116
China,1886,October,Yunnan,289,280.52,Climate Change,43,0.34,17,"[1881, 1891)",25.0453,102.7097
China,1886,July,Sichuan,22,336.36,Deforestation,16,0.42,52,"[1881, 1891)",30.6509,104.0757
India,1886,August,Madhya Pradesh,389,525.87,Climate Change,17,0.36,11,"[1881, 1891)",22.9734,78.6569
India,1886,June,Assam,471,757.29,Lightning,47,0.91,56,"[1881, 1891)",26.2006,92.9376
Turkey,1887,August,Mugla,292,854.82,Climate Change,22,0.69,58,"[1881, 1891)",37.2154,28.3634
Turkey,1887,July,Antalya,476,307.78,Deforestation,22,0.58,68,"[1881, 1891)",36.8969,30.7133
Turkey,1887,July,Izmir,101,856.95,Lightning,49,0.92,33,"[1881, 1891)",38.4237,27.1428
Spain,1887,October,Catalonia,495,122.75,Unknown,35,0.18,56,"[1881, 1891)",41.5912,1.5209
Spain,1887,June,Andalusia,11,45.25,Human,37,0.89,20,"[1881, 1891)",37.5443,4.7278
USA,1887,September,California,407,139.59,Climate Change,32,0.06,2,"[1881, 1891)",36.7783,-118.755997
USA,1887,September,Texas,408,856.14,Lightning,16,0.71,13,"[1881, 1891)",31.9686,-98.5456116
USA,1887,August,Oregon,265,336.72,Human,48,0.57,45,"[1881, 1891)",43.8041,-120.737257
Brazil,1887,July,Amazonas,346,178.71,Human,24,0.34,60,"[1881, 1891)",-3.0967614,-65.8561
Brazil,1887,October,Mato Grosso,219,862.43,Human,31,0.18,10,"[1881, 1891)",-12.2115009,-55.5716547
Greece,1887,June,Athens,241,997.08,Human,36,0.08,27,"[1881, 1891)",37.9755648,23.7348324
Greece,1887,June,Crete,33,770.08,Lightning,37,0.41,19,"[1881, 1891)",35.3084952,24.4633423
Australia,1887,September,New South Wales,46,383.43,Human,48,0.21,38,"[1881, 1891)",-31.8759835,147.2869493
Australia,1887,May,Victoria,490,785.11,Climate Change,36,0.89,28,"[1881, 1891)",-36.5986096,144.6780052
Portugal,1887,May,Lisbon,291,826.65,Deforestation,48,0.16,54,"[1881, 1891)",38.7077507,-9.1365919
Portugal,1887,June,Porto,177,117.64,Lightning,35,0.66,47,"[1881, 1891)",41.1502195,-8.6103497
Italy,1887,June,Sicily,314,612.2,Deforestation,40,0.33,22,"[1881, 1891)",37.587794,14.155048
Italy,1887,July,Sardinia,300,896.99,Unknown,49,0.58,56,"[1881, 1891)",40.0912813,9.0305773
Russia,1887,October,Siberia,410,894.99,Human,34,0.87,63,"[1881, 1891)",61.0137,99.1967
Russia,1887,July,Far East,369,389.9,Lightning,23,0.3,67,"[1881, 1891)",63.3109,135
Canada,1887,September,British Columbia,77,151.48,Human,15,0.93,62,"[1881, 1891)",55.001251,-125.002441
Canada,1887,July,Alberta,108,554.37,Human,49,0.07,45,"[1881, 1891)",55.001251,-115.002136
France,1887,July,Corsica,482,206.81,Lightning,26,0.23,45,"[1881, 1891)",42.188098,9.0683139
France,1887,July,Provence,309,358.72,Human,24,0.61,56,"[1881, 1891)",44.0145,6.2116
China,1887,May,Yunnan,307,205.91,Deforestation,22,0.25,26,"[1881, 1891)",25.0453,102.7097
China,1887,June,Sichuan,93,775.54,Deforestation,40,0.3,48,"[1881, 1891)",30.6509,104.0757
India,1887,June,Madhya Pradesh,20,704.42,Human,37,0.3,8,"[1881, 1891)",22.9734,78.6569
India,1887,October,Assam,339,89.2,Human,22,0.63,40,"[1881, 1891)",26.2006,92.9376
Turkey,1888,July,Mugla,406,179.5,Lightning,31,0.18,32,"[1881, 1891)",37.2154,28.3634
Turkey,1888,July,Antalya,112,965.43,Climate Change,48,0.07,38,"[1881, 1891)",36.8969,30.7133
Turkey,1888,July,Izmir,428,973.41,Unknown,29,0.08,26,"[1881, 1891)",38.4237,27.1428
Spain,1888,September,Catalonia,214,943.23,Climate Change,16,0.59,43,"[1881, 1891)",41.5912,1.5209
Spain,1888,June,Andalusia,418,295.3,Climate Change,27,0.22,33,"[1881, 1891)",37.5443,4.7278
USA,1888,July,California,383,400.74,Unknown,43,0.66,63,"[1881, 1891)",36.7783,-118.755997
USA,1888,September,Texas,240,130.84,Unknown,24,0.34,26,"[1881, 1891)",31.9686,-98.5456116
USA,1888,August,Oregon,393,109.16,Human,17,0.49,15,"[1881, 1891)",43.8041,-120.737257
Brazil,1888,October,Amazonas,328,330.13,Climate Change,39,0.52,66,"[1881, 1891)",-3.0967614,-65.8561
Brazil,1888,September,Mato Grosso,498,355,Human,38,0.72,13,"[1881, 1891)",-12.2115009,-55.5716547
Greece,1888,July,Athens,297,451.28,Deforestation,20,0.43,57,"[1881, 1891)",37.9755648,23.7348324
Greece,1888,October,Crete,348,298.57,Climate Change,48,0.29,53,"[1881, 1891)",35.3084952,24.4633423
Australia,1888,August,New South Wales,63,570.79,Climate Change,24,0.61,42,"[1881, 1891)",-31.8759835,147.2869493
Australia,1888,May,Victoria,263,142.99,Climate Change,19,0.58,48,"[1881, 1891)",-36.5986096,144.6780052
Portugal,1888,May,Lisbon,13,769.98,Unknown,49,0.54,63,"[1881, 1891)",38.7077507,-9.1365919
Portugal,1888,May,Porto,220,246.78,Deforestation,27,0.93,69,"[1881, 1891)",41.1502195,-8.6103497
Italy,1888,October,Sicily,361,177.74,Human,17,0.33,10,"[1881, 1891)",37.587794,14.155048
Italy,1888,July,Sardinia,413,889.01,Unknown,23,0.83,41,"[1881, 1891)",40.0912813,9.0305773
Russia,1888,May,Siberia,265,588.62,Deforestation,48,0.92,39,"[1881, 1891)",61.0137,99.1967
Russia,1888,July,Far East,393,709.31,Lightning,32,0.74,38,"[1881, 1891)",63.3109,135
Canada,1888,August,British Columbia,180,31.2,Unknown,19,0.81,41,"[1881, 1891)",55.001251,-125.002441
Canada,1888,September,Alberta,228,24.96,Deforestation,17,0.6,41,"[1881, 1891)",55.001251,-115.002136
France,1888,June,Corsica,44,922.08,Climate Change,47,0.1,20,"[1881, 1891)",42.188098,9.0683139
France,1888,August,Provence,357,969.26,Deforestation,27,0.49,54,"[1881, 1891)",44.0145,6.2116
China,1888,June,Yunnan,360,863.06,Deforestation,21,0.09,46,"[1881, 1891)",25.0453,102.7097
China,1888,June,Sichuan,253,492.38,Lightning,24,0.36,54,"[1881, 1891)",30.6509,104.0757
India,1888,October,Madhya Pradesh,43,923.41,Unknown,16,0.82,13,"[1881, 1891)",22.9734,78.6569
India,1888,June,Assam,228,958.56,Deforestation,31,0.64,65,"[1881, 1891)",26.2006,92.9376
Turkey,1889,September,Mugla,167,11.07,Deforestation,44,0.75,64,"[1881, 1891)",37.2154,28.3634
Turkey,1889,August,Antalya,64,914.57,Climate Change,43,0.26,69,"[1881, 1891)",36.8969,30.7133
Turkey,1889,August,Izmir,356,456.39,Lightning,18,0.68,18,"[1881, 1891)",38.4237,27.1428
Spain,1889,August,Catalonia,410,639.88,Lightning,15,0.26,51,"[1881, 1891)",41.5912,1.5209
Spain,1889,October,Andalusia,196,249.6,Unknown,49,0.56,8,"[1881, 1891)",37.5443,4.7278
USA,1889,September,California,399,441.64,Deforestation,25,0.62,27,"[1881, 1891)",36.7783,-118.755997
USA,1889,June,Texas,434,131.25,Climate Change,18,0.85,14,"[1881, 1891)",31.9686,-98.5456116
USA,1889,May,Oregon,43,689.78,Climate Change,43,0.79,33,"[1881, 1891)",43.8041,-120.737257
Brazil,1889,June,Amazonas,179,788.97,Unknown,36,0.79,28,"[1881, 1891)",-3.0967614,-65.8561
Brazil,1889,July,Mato Grosso,341,445.13,Unknown,42,0.25,48,"[1881, 1891)",-12.2115009,-55.5716547
Greece,1889,September,Athens,447,534.31,Deforestation,19,0.07,2,"[1881, 1891)",37.9755648,23.7348324
Greece,1889,June,Crete,384,200.82,Lightning,49,0.68,26,"[1881, 1891)",35.3084952,24.4633423
Australia,1889,August,New South Wales,278,382.58,Unknown,30,0.31,61,"[1881, 1891)",-31.8759835,147.2869493
Australia,1889,October,Victoria,477,58.76,Climate Change,22,0.83,28,"[1881, 1891)",-36.5986096,144.6780052
Portugal,1889,October,Lisbon,54,308.07,Deforestation,43,0.68,45,"[1881, 1891)",38.7077507,-9.1365919
Portugal,1889,September,Porto,28,449.59,Lightning,17,0.24,47,"[1881, 1891)",41.1502195,-8.6103497
Italy,1889,May,Sicily,226,116.36,Unknown,34,0.13,39,"[1881, 1891)",37.587794,14.155048
Italy,1889,May,Sardinia,448,52.09,Climate Change,16,0.92,12,"[1881, 1891)",40.0912813,9.0305773
Russia,1889,September,Siberia,213,266.89,Lightning,45,0.42,33,"[1881, 1891)",61.0137,99.1967
Russia,1889,July,Far East,305,417.88,Human,22,0.15,52,"[1881, 1891)",63.3109,135
Canada,1889,May,British Columbia,405,395.99,Human,46,0.83,55,"[1881, 1891)",55.001251,-125.002441
Canada,1889,October,Alberta,96,488.87,Human,24,0.44,33,"[1881, 1891)",55.001251,-115.002136
France,1889,June,Corsica,357,492.53,Human,47,0.81,31,"[1881, 1891)",42.188098,9.0683139
France,1889,May,Provence,81,570.85,Lightning,40,0.5,16,"[1881, 1891)",44.0145,6.2116
China,1889,June,Yunnan,110,91.78,Unknown,25,0.65,68,"[1881, 1891)",25.0453,102.7097
China,1889,July,Sichuan,394,840.76,Human,45,0.36,42,"[1881, 1891)",30.6509,104.0757
India,1889,June,Madhya Pradesh,208,263.89,Unknown,34,0.66,8,"[1881, 1891)",22.9734,78.6569
India,1889,July,Assam,88,986.11,Unknown,20,0.62,23,"[1881, 1891)",26.2006,92.9376
Turkey,1890,June,Mugla,387,989.18,Human,28,0.79,13,"[1881, 1891)",37.2154,28.3634
Turkey,1890,August,Antalya,401,16.6,Climate Change,33,0.59,46,"[1881, 1891)",36.8969,30.7133
Turkey,1890,September,Izmir,123,24.56,Deforestation,32,0.74,19,"[1881, 1891)",38.4237,27.1428
Spain,1890,July,Catalonia,154,375.12,Human,17,0.32,36,"[1881, 1891)",41.5912,1.5209
